"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.2391806999997","1000","0","0.000017442319523422373","0.000006674192137417","25.095677868005","-0.00023391710867325","0.005870308407079001","0","0","",""
"19.0177969","1996","6882.000000000015","3.1981319501235386","0.62324817867951","23.853126703672","22.880443403221","545.7701155332268","449.1633417459357","82.29899896719252","7.120198050206259","5.859851719801311"
"23.9681292","1949","6700.999999999999","3.026043984607792","0.59057694052856","23.871894387064","21.035580926705","502.15916625283955","414.42383143543157","82.52838129549689","7.301809777991154","6.026065415052415"
"28.9676703","1902","6452.999999999958","2.8436567367077443","0.55054235966274","23.927372426448","19.062644409011","456.1189922073529","372.0326219936457","81.56481715291494","7.643568248045502","6.234462465476576"
"33.942163","1854","6197.999999999988","2.6278801306279926","0.50951775659789","24.008451861998","16.818970435887","403.7974420783606","330.70404999090584","81.89850046814554","7.946319770502532","6.507916734445357"
"38.9441518","1807","5940.000000000009","2.3811279287275475","0.46598177318127","24.094464684088","14.673375573575","353.54712955386236","289.857133235939","81.98542966582895","8.21483294940804","6.7349660899022705"
"43.9433569","1759","5645.000000000006","2.11524241999225","0.41612905078903","24.197177920362","12.403793326218","300.13679400189574","245.99178281545707","81.95988886784181","8.598833651200065","7.0475945044541595"
"48.9447588","1712","5413.0000000000155","1.9275056615005126","0.37505464713328","24.274941864432","10.783474249838","261.7682105114169","212.59898954360878","81.21650414626507","9.066391451992947","7.363406189524475"
"53.9426287","1664","5140.999999999992","1.7800358059310777","0.3450861462138","24.345538996224","9.441440264204","229.8569521326979","185.78204811194507","80.82507245840965","9.581312209770111","7.744102536013144"
"58.90290825","1617","4895.99999999996","1.5769004679739769","0.30837304222515","24.415573893452","8.071891304593","197.07985860720305","158.10530139200822","80.22397748271453","9.973735567943992","8.00132737621288"
"63.876413","1570","4623.000000000028","1.412662949084856","0.27638735094422","24.478465492256","6.8678954423416","168.1155415897811","133.8044862229398","79.59078914276483","10.55766506013208","8.402928936409081"
"68.85177615","1522","4324.000000000011","1.22038430236513","0.23821818601623","24.545735968287","5.6095178764879","137.68974470565797","107.86715305258974","78.34073139083773","11.313771318041013","8.863291198440152"
"73.85645935","1475","4057.000000000003","1.089735554732452","0.21108083743383","24.59585678411","4.7186074595417","116.05819329532079","89.67728144166546","77.26923786713907","12.151746096822958","9.389561596564919"
"78.8729787","1427","3737.000000000014","0.9099006685679106","0.17754201623392","24.65081534744","3.7450741868668","92.31913224291749","69.47888870397554","75.25946899192806","13.096074009540782","9.856035758370293"
"83.84970075","1380","3425.9999999999586","0.7479263710121091","0.14764686697073","24.696907351107","2.9552943849579","72.986631620552","52.97124889901013","72.57664550735915","14.119477764967058","10.247443324970538"
"88.82511575","1333","3101.999999999956","0.6064561249171532","0.1193026177451","24.741019034167","2.2671997697939","56.09283265872992","38.75434351957412","69.08965313867537","15.648726564309962","10.811650903901505"
"93.79927785","1285","2788.9999999999895","0.47215654084397835","0.094910140909596","24.77700474678","1.7033359562503","42.20356307337474","27.719778166532045","65.68113246348108","17.0332005547593","11.187599019141848"
"98.77268005","1238","2431.9999999999754","0.35727072543445526","0.073483529151398","24.807881452361","1.2053233353841","29.901518415973108","18.71467089704849","62.587694165562134","19.09040919820828","11.94824692392894"
"103.7781026","1190","2055.9999999999955","0.25138581671968513","0.051996486480884","24.833776461123","0.80964169090812","20.106460765617896","11.195041985277928","55.678829386131845","22.455102629384577","12.502738281495846"
"108.7712792","1143","1678.0000000000089","0.15707643042778116","0.033142788939529","24.853534315807","0.52026062075244","12.930315191033818","5.823842556623046","45.040221143730776","26.971270067929495","12.147919683868311"
"113.75924995","1095","1270.00000000002","0.09023772677265834","0.020580611481246","24.869570577759","0.32026270163002","7.964795861611555","2.737099675051796","34.364969581254094","32.96837436910321","11.32957182337629"
