"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"0.29860699999997","1000","0","-0.0009770559922144056","-0.0002646367621568","24.309859549796","0.0017154588148082","0.04170256285144685","0","0","",""
"4.9245058","1100","683.0000000000036","0.0337670287101681","0.0095884781006818","24.306137613825","0.10683789755431","2.5968166403267965","0.6858024027340851","26.409350282343397","49.23725635190144","13.003239499389027"
"9.0504468","1150","978.0000000000263","0.06602990006124518","0.020268162711328","24.303257044438","0.19659962462847","4.77801121218573","2.0757825410669177","43.444488697994046","31.80964226980486","13.819536440777712"
"13.1751298","1200","1244.000000000031","0.10629214158074368","0.033307016173659","24.29885453462","0.32448051632024","7.884504865383902","4.338950806375422","55.03136697175665","24.497199052029742","13.481143508124179"
"17.2991988","1250","1544.9999999999584","0.17345630109912152","0.049943647295879","24.292099304238","0.52890633353319","12.848245176828678","8.080483665067764","62.89172999002703","21.466079047839635","13.500388474213068"
"21.4248956","1300","1842.9999999999718","0.27814210738907785","0.069238533155456","24.282624061732","0.80242114452295","19.484890991635517","13.362933642576632","68.58100283092719","20.81444949355048","14.274758196413767"
"25.5759946","1350","2120.0000000000123","0.3963112630446381","0.088910517066403","24.270893127063","1.1334131144186","27.508948568865467","19.738657658482946","71.7535881426711","20.077923732281672","14.40663070246101"
"29.7006912","1400","2423.000000000042","0.5040800312168682","0.12220261169621","24.252474094579","1.6626895706998","40.324335740723576","31.00719780649612","76.89450362149903","16.25687152907644","12.50064066666813"
"33.8505982","1450","2683.0000000000273","0.6756398814097374","0.15859905394391","24.228673311919","2.3630917130235","57.25457712094943","44.56048232673288","77.82868124691504","15.162310776973014","11.800626524276973"
"37.9795038","1500","3000.000000000007","0.731435878338964","0.18236017949293","24.203572232388","3.0180098386592","73.0466191280456","57.29014002023062","78.42955732120198","12.767220992664273","10.01327490676616"
"42.1528546","1550","3287.9999999999873","0.9592859166918061","0.23299634651982","24.164401957715","4.1271373697182","99.72980633657721","80.22496531517582","80.44231535397284","11.957448818121732","9.61884868656338"
"46.2780046","1600","3562.0000000000186","1.1603715483747254","0.28312732869807","24.118247897068","5.3923615534202","130.05431269600706","105.60982537210374","81.20440082518401","10.98734463660264","8.922207378751164"
"50.4248846","1650","3812.999999999974","1.3526184184499295","0.32185725182265","24.073629848605","6.4101467702556","154.31550062236417","128.51645042227312","83.28162103220879","10.524865991906573","8.765279009527454"
"54.5520258","1700","4056","1.4236349869081697","0.34850282197663","24.024496275092","7.5879785766194","182.29736304947068","148.02424799346286","81.19933580898426","9.617579593925997","7.809410751168314"
"58.7026724","1750","4259.9999999999945","1.6986981151747031","0.43566430809064","23.947976193285","9.6976256249595","232.2385075979207","194.3525301414943","83.6866082854704","8.740293290434662","7.314455008967308"
"62.8526874","1800","4510.000000000043","1.9733732900727567","0.48815618191849","23.871714333748","11.571584611051","276.2335622238039","230.5493771962443","83.4617543719954","8.559438824217754","7.143857807089833"
"67.0043224","1850","4762.000000000002","2.1852757202426925","0.5196543725858","23.799950733373","13.108236026165","311.97537162415205","259.1388905029444","83.06389352270355","8.432835827927816","7.004641773054358"
"71.1274634","1900","4974.000000000023","2.4412316161979883","0.59002435936266","23.705637314534","15.559676279404","368.85204261110897","307.3295647683564","83.32055384396571","7.943367303559026","6.6184576311858665"
"75.2782708","1950","5184.000000000036","2.6404372053629936","0.64027632897143","23.610488616734","17.745416586802","418.9779563218913","347.5850246837165","82.9602177009701","7.596521765474932","6.302090994339582"
"79.4275212","2000","5363.000000000045","2.8659458708494747","0.67776677362545","23.527033142515","19.493149985938","458.6159857711791","380.6419849256127","82.99797580879124","7.529242659370734","6.249119001009712"
