"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"0.40280420000004","1000","0","0.00021153038203261052","0.000019133842933678","24.653572195599","0.00026422237893493","0.006514025494765213","0","0","",""
"5.728411","1150","795.9999999999983","0.03246253483604493","0.0078049034474561","24.651190186383","0.12120312076758","2.9878011812247616","0.6505927518891507","21.774968025899877","49.896859043975276","10.865025102753947"
"10.0997294","1200","1377.9999999999889","0.09890531167794507","0.021960562024504","24.647135584991","0.31773430150654","7.8312404092341","3.168993045589681","40.46604215920898","31.2103277776493","12.629584396530879"
"14.4901988","1250","1798.0000000000168","0.17053825318328888","0.037345364543814","24.641624355535","0.56883492285017","14.017016489183623","7.031613778929028","50.1648391749774","24.253074549447632","12.16651584271778"
"18.8594738","1300","2152.000000000021","0.2596749373314537","0.05541990479861","24.634245760177","0.88691869742909","21.848573161764268","12.489258665139038","57.16281137752125","20.7918615743205","11.885212613604146"
"23.1973134","1350","2521.9999999999814","0.3444355735219265","0.07261753995881","24.624838455065","1.2822173338525","31.57439471040196","19.17852630673792","60.74075681463401","17.959439010750128","10.908699174792245"
"27.5661048","1400","2824.000000000008","0.46293700834379736","0.094541709053589","24.612706266194","1.7857180461782","43.95135374482589","27.95868616881723","63.61279866631783","16.557895658921144","10.532940828888485"
"31.9454958","1450","3214.0000000000337","0.6057157052603999","0.12061603797708","24.596128947854","2.476235751257","60.905813843203305","40.59565462092979","66.65316832550626","14.920702989430616","9.945121278894034"
"36.3426774","1500","3606.9999999999736","0.7965136064660308","0.15960488543623","24.572724528619","3.4617138132721","85.06373993045054","60.28662075925113","70.87229036548642","13.212112346565782","9.363726625672383"
"40.6759092","1550","4009.000000000038","0.9800681735540271","0.19187459962272","24.546665301521","4.4829132165019","110.04057030123708","80.55308189447233","73.20307562379722","12.16673714406054","8.906425792515265"
"45.0598142","1600","4360.000000000033","1.1816837581619617","0.23060170355744","24.514943755367","5.7418409847393","140.760908793145","105.28769512046289","74.79895947190016","11.223379491876624","8.394971077506352"
"49.4153768","1650","4715.00000000004","1.364891729863817","0.26598922940977","24.479794109976","7.1076921177757","173.99483964024844","131.33315165533816","75.48106135037249","10.39259099976331","7.844437988424634"
"53.6371458","1700","5026.000000000001","1.5668813752990063","0.30649136087878","24.439875436168","8.6481074021794","211.35866766786697","161.312989494281","76.32191822280565","9.713299469628618","7.413376477946169"
"57.8939236","1750","5327.000000000024","1.767031309241688","0.34595798344326","24.396909076491","10.241499959997","249.86094333093303","192.98994028502165","77.23893847203341","9.156079879769935","7.072058904785732"
"62.175832","1800","5641.999999999996","1.9703909347375506","0.38171483538938","24.349655708655","11.985719866131","291.8481521606763","225.5281404217714","77.27585004465179","8.736785267916565","6.751425082358433"
"66.5544884","1850","5952.999999999956","2.1803782955361926","0.42549024635811","24.293201960381","14.101195475116","342.56318955980373","265.24921640954","77.43074109929535","8.220112108341642","6.364893724681846"
"70.8959248","1900","6236.000000000016","2.4334110745042397","0.47504996168483","24.231509113621","16.390086518027","397.15653083460796","310.2230132385442","78.11101899460733","7.844070138771692","6.127083116046279"
"75.2175052","1950","6357.000000000028","2.539810577830962","0.48875964553173","24.19560096958","17.266954293822","417.7843360532931","325.3689985248345","77.87965475166357","7.805939070243366","6.07923839803075"
"79.4680468","2000","6336.999999999962","2.563524044399872","0.49938295957237","24.17556824056","17.457988300883","422.05678751089505","331.395070461082","78.51907143005663","7.735552737200188","6.073884179231916"
