"Time (s)","Throttle (µs)","Rotation speed (rpm)","Thrust (kgf)","Torque (N⋅m)","Voltage (V)","Current (A)","Electrical power (W)","Mechanical power (W)","Motor & ESC efficiency (%)","Propeller efficiency (gf/W)","Propulsion system efficiency (gf/W)"
"1.2364289","1000","0","0.00030488897361494497","-0.000064929978447435","24.969790227117","0.028208934611696","0.7043711797845092","0","0","",""
"19.96248765","2000","3907.999999999997","0.9740584222382057","0.19057590682744","24.737405507945","3.7902693062267","93.76142881244724","77.99219944759614","83.18153897121748","12.489177496432665","10.388690046379661"
"24.9128952","1954","3749.999999999961","0.9042170672308384","0.17965949905395","24.745436092018","3.4549784400494","85.49494818754248","70.55212029693823","82.52197561682179","12.816298977623768","10.576263117293665"
"29.89011405","1907","3577.9999999999745","0.8206651491901619","0.16258621734519","24.760736334019","3.0381074947368","75.22577863158493","60.918988163334994","80.98153222405735","13.471417926210592","10.909360648951667"
"34.865172","1861","3415.000000000018","0.7479594467443419","0.1491448931807","24.77582653471","2.6592755242898","65.88574909780408","53.33689300055319","80.95361095671426","14.023303658437404","11.352370686930094"
"39.8651236","1814","3247.0000000000455","0.663555676799172","0.1327435577572","24.79273804675","2.3000223014522","57.023850421587454","45.13613418306529","79.15308042050096","14.701207553750423","11.636458637804832"
"44.8125799","1768","3102.9999999999595","0.6032529668684413","0.11914808611069","24.804746595918","2.0441363668361","50.704284586869946","38.71662251671249","76.3576940926572","15.581239469120533","11.89747516967542"
"49.76295965","1721","2915.0000000000173","0.5257246387798892","0.10528374440847","24.820342280004","1.7307561953512","42.95796117185425","32.13871432334212","74.8143381264546","16.357985994419796","12.238118952543312"
"54.76678665","1675","2744.0000000000346","0.46857606991049955","0.094089331657727","24.833154140857","1.4866175930217","36.9174038360177","27.036664298443384","73.23555149906187","17.331134667285028","12.692552054631292"
"59.7753193","1628","2570.0000000000423","0.40521875604087026","0.083039321893414","24.845780867017","1.2511898041339","31.086787696556804","22.34835365673132","71.89019938269993","18.131928743610985","13.035079725711016"
"64.7641896","1582","2412.0000000000064","0.36124997323018565","0.073213267698551","24.856944223264","1.0761521922109","26.749855017529622","18.492503621344532","69.13122934395753","19.53494132688564","13.504745090896852"
"69.73930715","1535","2253.9999999999704","0.3105660181275665","0.063263362700866","24.866774546189","0.89870737000969","22.34795355302942","14.93257835808216","66.81854928080404","20.79788303668768","13.896843726233143"
"74.714536","1489","2099.0000000000396","0.2586162340376377","0.053001160309965","24.876590796038","0.75038815687534","18.667099116781","11.650013641777969","62.40934153129909","22.198792378252442","13.854120151167557"
"79.6898572","1442","1951.0000000000362","0.2178752252225888","0.044527863413841","24.884816231271","0.63659519588206","15.84155446323503","9.097409504716087","57.4275051468547","23.949150042068847","13.753399373037043"
"84.66657785","1396","1798.0000000000168","0.18604449180949664","0.038876451078498","24.89103298861","0.53876235602382","13.41035157681015","7.319896121477482","54.583924064566745","25.41627486537945","13.873200172560283"
"89.65304125","1349","1650.0000000000132","0.1573141790869563","0.033090964453231","24.897453316251","0.46050014234634","11.465280796194941","5.717708195455978","49.86976156182369","27.513502562438966","13.720918125194563"
"94.6459592","1303","1491.9999999999773","0.1258478333949412","0.026656262002163","24.902064480335","0.38517263598644","9.59159381739493","4.164824346073762","43.4216088104211","30.216840600631745","13.120638320474812"
"99.6426206","1256","1283.9999999999702","0.09136937475740137","0.020322796764908","24.907012500745","0.3238366336839","8.065803083364077","2.732606617928965","33.878915585790025","33.43670990105775","11.327994722044853"
"104.6190491","1210","1031.0000000000075","0.05998440215279326","0.012615104429309","24.910723850311","0.26923367751895","6.706805791878248","1.3620032166922151","20.307777785090515","44.041307258049244","8.943810811613583"
"109.59800095","1163","850.0000000000018","0.04003343148977174","0.0084369614863691","24.916591353628","0.18522758763323","4.615240108475511","0.7509890596855885","16.271939098172997","53.30760944311528","8.674181743275634"
"114.59239985","1117","550.0000000000013","0.017170107083549428","0.0028098599949162","24.919388205917","0.15158311883719","3.777358583767587","0.16183631782348445","4.284377938566446","106.09551251825279","4.545532732141024"
